age	 lit_no	 whole width	 left side range	 whole integral	 left side integral	 max loc	 max alpha	 min alpha	 file name 
17.50	 2	 2.631473	 0.312914	 3.756468	 0.453221	 2.198275	 4.516835	 1.885362	 2019_04_10_WT6_E17,5_left-1.tif_res.mat
17.50	 2	 2.727939	 0.225782	 3.431073	 0.411068	 2.134468	 4.636625	 1.908686	 2019_04_10_WT6_E17,5_right-1.tif_res.mat
17.50	 2	 2.582965	 0.343736	 3.941377	 0.540342	 2.141319	 4.380548	 1.797583	 2019_04_10_WT_E17,5_right-1.tif_res.mat
17.50	 3	 1.827420	 0.341478	 3.008922	 0.663054	 2.039393	 3.525335	 1.697915	 2019_05_23_E17,5_WT_left-1.tif_res.mat
17.50	 3	 2.628877	 0.388742	 3.896292	 0.758709	 2.117979	 4.358113	 1.729236	 2019_05_23_E17,5_WT_right-1.tif_res.mat
17.50	 4	 2.116094	 0.452117	 3.591119	 0.808325	 2.255172	 3.919149	 1.803055	 2019_11_26_e17,5_wt1_left-1.tif_res.mat
17.50	 4	 2.682893	 0.447375	 4.274448	 0.858185	 2.241515	 4.477033	 1.794140	 2019_11_26_e17,5_wt1_right-1.tif_res.mat
17.50	 4	 1.998653	 0.477003	 3.553188	 0.917470	 2.345097	 3.866746	 1.868094	 2019_11_26_e17,5_wt2_left-1.tif_res.mat
17.50	 4	 2.394452	 0.448324	 4.030264	 0.778426	 2.297456	 4.243583	 1.849131	 2019_11_26_e17,5_wt2_right-1.tif_res.mat
17.50	 5	 2.790443	 0.364552	 3.650896	 0.630629	 2.049628	 4.475519	 1.685076	 2019_07_11_E17,5_WT_left_res.mat
17.50	 5	 2.822349	 0.368406	 4.070144	 0.603080	 2.074075	 4.528018	 1.705669	 2019_07_11_E17,5_WT_right_res.mat
18.00	 1	 2.180666	 0.348301	 3.565057	 0.653063	 2.301679	 4.134044	 1.953377	 2019_07_11_E18,0_WT1_left_res.mat
18.00	 1	 2.783841	 0.418990	 3.904680	 0.796822	 2.212469	 4.577320	 1.793479	 2019_07_11_E18,0_WT2_left_res.mat
18.00	 1	 2.605011	 0.439579	 4.040713	 0.849173	 2.264346	 4.429778	 1.824767	 2019_07_11_E18,0_WT3_right_res.mat
18.00	 1	 2.655097	 0.367396	 4.148480	 0.719672	 2.265869	 4.553571	 1.898474	 2019_07_11_E18,0_WT4_left_res.mat
18.00	 1	 2.540593	 0.312943	 3.914585	 0.605011	 2.225305	 4.452954	 1.912361	 2019_07_11_E18,0_WT4_right_res.mat
18.00	 1	 2.459382	 0.440791	 4.051106	 0.862162	 2.390218	 4.408809	 1.949427	 2019_07_11_E18,0_WT5_left_res.mat
18.00	 1	 2.705047	 0.415338	 4.121853	 0.802787	 2.192699	 4.482409	 1.777362	 2019_07_11_E18,0_WT5_right-1.tif_res.mat
18.50	 1	 2.629954	 0.382673	 3.784650	 0.497392	 2.273877	 4.521158	 1.891204	 2019_04_01_WT1_S4_E18,5-1_left.tif_res.mat
18.50	 1	 2.450618	 0.649455	 4.037119	 1.061396	 2.529550	 4.330714	 1.880096	 2019_04_01_WT1_S4_E18,5-1_right.tif_res.mat
18.50	 1	 2.933444	 0.919835	 4.672734	 1.702771	 2.489592	 4.503201	 1.569757	 2019_04_01_WT2_S4_E18,5-1_Left.tif_res.mat
18.50	 1	 2.692537	 0.519300	 4.003319	 1.006312	 2.269028	 4.442266	 1.749729	 2019_04_01_WT2_S4_E18,5-1_Right.tif_res.mat
18.50	 1	 2.757444	 0.510362	 4.064111	 0.925947	 2.305959	 4.553041	 1.795597	 2019_04_01_WT3_S4_E18,5-1_Left.tif_res.mat
18.50	 1	 2.396337	 0.410781	 3.675447	 0.750373	 2.290076	 4.275633	 1.879296	 2019_04_01_WT3_S4_E18,5-1_right.tif_res.mat
18.50	 1	 2.677464	 0.519849	 4.227454	 0.919211	 2.230135	 4.387750	 1.710286	 2019_04_01_WT_S5_E18,5-1_Left.tif_res.mat
18.50	 1	 2.593298	 0.584387	 3.975716	 1.075867	 2.285484	 4.294396	 1.701098	 2019_04_01_WT_S5_E18,5-1_right.tif_res.mat
